iter	Passed	Remaining
442	1323	1664
443	1325	1660
444	1328	1657
445	1332	1655
446	1335	1652
447	1338	1649
448	1342	1647
449	1345	1644
450	1349	1642
451	1352	1640
452	1355	1636
453	1358	1633
454	1361	1630
455	1365	1628
456	1368	1626
457	1371	1623
458	1375	1621
459	1378	1618
460	1383	1617
461	1386	1615
462	1389	1611
463	1407	1626
464	1410	1622
465	1414	1621
466	1418	1619
467	1421	1615
468	1452	1644
469	1455	1641
470	1458	1638
471	1463	1637
472	1466	1634
473	1470	1631
474	1473	1628
475	1476	1624
476	1480	1623
477	1483	1620
478	1487	1617
479	1490	1614
480	1493	1611
481	1503	1615
482	1510	1616
483	1516	1616
484	1520	1614
485	1527	1615
486	1531	1612
487	1534	1609
488	1537	1606
489	1540	1603
490	1543	1600
491	1545	1595
492	1547	1591
493	1549	1587
494	1551	1583
495	1554	1579
496	1557	1576
497	1560	1572
498	1563	1569
499	1565	1565
500	1566	1560
501	1569	1556
502	1571	1553
503	1573	1548
504	1575	1544
505	1577	1540
506	1579	1535
507	1581	1531
508	1583	1527
509	1585	1523
510	1588	1520
511	1590	1516
512	1592	1512
513	1595	1508
514	1598	1504
515	1600	1501
516	1602	1497
517	1605	1494
518	1607	1490
519	1610	1486
520	1612	1482
521	1615	1479
522	1619	1476
523	1621	1473
524	1625	1471
525	1629	1468
526	1631	1464
527	1634	1461
528	1638	1458
529	1641	1455
530	1644	1452
531	1646	1448
532	1649	1445
533	1652	1442
534	1655	1439
535	1657	1435
536	1660	1432
537	1664	1429
538	1668	1426
539	1670	1423
540	1673	1419
541	1675	1415
542	1678	1412
543	1682	1410
544	1684	1406
545	1687	1403
546	1690	1400
547	1692	1395
548	1695	1392
549	1697	1388
550	1700	1385
551	1703	1382
552	1706	1379
553	1709	1376
554	1714	1374
555	1718	1372
556	1723	1370
557	1729	1370
558	1733	1367
559	1738	1366
560	1742	1363
561	1746	1361
562	1750	1358
563	1755	1357
564	1759	1354
565	1764	1352
566	1768	1350
567	1772	1348
568	1776	1345
569	1779	1342
570	1782	1339
571	1786	1336
572	1788	1332
573	1791	1329
574	1793	1325
575	1795	1321
576	1797	1317
577	1800	1314
578	1801	1310
579	1804	1306
580	1806	1303
581	1808	1299
582	1810	1295
583	1812	1290
584	1813	1286
585	1815	1282
586	1817	1278
587	1819	1274
588	1820	1270
589	1821	1266
590	1823	1261
591	1824	1257
592	1826	1253
593	1828	1249
594	1829	1245
595	1830	1241
596	1832	1237
597	1834	1233
598	1835	1228
599	1837	1224
600	1838	1220
601	1839	1216
602	1841	1212
603	1843	1208
604	1844	1204
605	1845	1200
606	1847	1196
607	1850	1193
608	1851	1188
609	1853	1184
610	1854	1180
611	1856	1176
612	1857	1172
613	1858	1168
614	1860	1164
615	1861	1160
616	1863	1156
617	1864	1152
618	1866	1148
619	1867	1144
620	1868	1140
621	1870	1136
622	1871	1132
623	1872	1128
624	1874	1124
625	1875	1120
626	1877	1116
627	1878	1112
628	1880	1109
629	1881	1105
630	1883	1101
631	1884	1097
632	1885	1093
633	1887	1089
634	1888	1085
635	1890	1081
636	1891	1077
637	1892	1073
638	1894	1070
639	1896	1066
640	1897	1062
641	1899	1059
642	1900	1055
643	1902	1051
644	1903	1047
645	1905	1044
646	1906	1040
647	1907	1036
648	1909	1032
649	1912	1029
650	1913	1025
651	1914	1022
652	1916	1018
653	1917	1014
654	1919	1010
655	1920	1007
656	1921	1003
657	1923	999
658	1924	996
659	1926	992
660	1928	988
661	1929	985
662	1930	981
663	1934	978
664	1936	975
665	1938	972
666	1942	969
667	1944	966
668	1946	962
669	1947	959
670	1949	955
671	1950	951
672	1951	948
673	1953	944
674	1954	941
675	1956	937
676	1957	934
677	1959	930
678	1960	927
679	1962	923
680	1964	920
681	1965	916
682	1966	912
683	1968	909
684	1969	905
685	1971	902
686	1973	898
687	1974	895
688	1976	892
689	1977	888
690	1978	884
691	1980	881
692	1981	877
693	1983	874
694	1984	870
695	1986	867
696	1987	864
697	1989	860
698	1990	857
699	1992	853
700	1994	850
701	1996	847
702	1997	843
703	1999	840
704	2001	837
705	2003	834
706	2005	830
707	2006	827
708	2009	824
709	2011	821
710	2013	818
711	2014	815
712	2017	812
713	2019	808
714	2021	805
715	2023	802
716	2026	799
717	2028	796
718	2029	793
719	2031	789
720	2032	786
721	2034	783
722	2035	779
723	2037	776
724	2038	773
725	2041	770
726	2043	767
727	2062	770
728	2063	767
729	2065	763
730	2066	760
731	2068	757
732	2069	753
733	2071	750
734	2073	747
735	2077	745
736	2079	742
737	2082	739
738	2084	736
739	2086	733
740	2088	730
741	2090	726
742	2092	723
743	2094	720
744	2095	717
745	2097	714
746	2099	710
747	2100	707
748	2102	704
749	2104	701
750	2106	698
751	2110	696
752	2115	693
753	2118	691
754	2122	688
755	2125	686
756	2129	683
757	2131	680
758	2133	677
759	2135	674
760	2139	671
761	2142	669
762	2144	666
763	2147	663
764	2153	661
765	2156	658
766	2158	655
767	2161	653
768	2163	650
769	2165	646
770	2167	643
771	2171	641
772	2173	638
773	2175	635
774	2177	632
775	2181	629
776	2184	626
777	2187	624
778	2190	621
779	2192	618
780	2194	615
781	2197	612
782	2199	609
783	2202	606
784	2205	603
785	2208	601
786	2210	598
787	2212	595
788	2214	592
789	2217	589
790	2220	586
791	2224	584
792	2227	581
793	2230	578
794	2235	576
795	2238	573
796	2242	571
797	2244	568
798	2277	573
799	2279	569
800	2280	566
801	2285	564
802	2287	561
803	2289	558
804	2292	555
805	2293	552
806	2340	559
807	2343	556
808	2347	554
809	2351	551
810	2355	548
811	2357	545
812	2359	542
813	2362	539
814	2366	537
815	2369	534
816	2371	531
817	2372	527
818	2374	524
819	2376	521
820	2378	518
821	2380	515
822	2386	513
823	2392	510
824	2397	508
825	2403	506
826	2407	503
827	2410	500
828	2412	497
829	2415	494
830	2417	491
831	2419	488
832	2421	485
833	2423	482
834	2424	479
835	2426	475
836	2428	472
837	2430	469
838	2433	466
839	2435	463
840	2438	460
841	2439	457
842	2441	454
843	2443	451
844	2448	449
845	2453	446
846	2455	443
847	2458	440
848	2462	438
849	2467	435
850	2473	433
851	2479	430
852	2484	428
853	2487	425
854	2489	422
855	2493	419
856	2497	416
857	2499	413
858	2501	410
859	2503	407
860	2504	404
861	2507	401
862	2509	398
863	2511	395
864	2512	392
865	2514	389
866	2516	385
867	2517	382
868	2519	379
869	2520	376
870	2522	373
871	2523	370
872	2525	367
873	2526	364
874	2528	361
875	2530	358
876	2531	355
877	2533	351
878	2534	348
879	2535	345
880	2537	342
881	2539	339
882	2540	336
883	2542	333
884	2543	330
885	2545	327
886	2546	324
887	2548	321
888	2549	318
889	2551	315
890	2553	312
891	2555	309
892	2556	306
893	2558	303
894	2559	300
895	2561	297
896	2562	294
897	2564	291
898	2565	288
899	2567	285
900	2568	282
901	2570	279
902	2571	276
903	2573	273
904	2574	270
905	2576	267
906	2577	264
907	2579	261
908	2581	258
909	2582	255
910	2584	252
911	2585	249
912	2586	246
913	2588	243
914	2590	240
915	2592	237
916	2593	234
917	2595	231
918	2596	228
919	2597	225
920	2610	223
921	2611	220
922	2613	218
923	2615	215
924	2616	212
925	2617	209
926	2619	206
927	2620	203
928	2622	200
929	2623	197
930	2625	194
931	2626	191
932	2628	188
933	2629	185
934	2631	182
935	2632	180
936	2634	177
937	2635	174
938	2637	171
939	2639	168
940	2642	165
941	2645	162
942	2647	160
943	2649	157
944	2652	154
945	2655	151
946	2657	148
947	2659	145
948	2662	143
949	2665	140
950	2669	137
951	2674	134
952	2678	132
953	2684	129
954	2688	126
955	2692	123
956	2697	121
957	2702	118
958	2706	115
959	2708	112
960	2711	110
961	2715	107
962	2719	104
963	2723	101
964	2725	98
965	2728	96
966	2733	93
967	2736	90
968	2739	87
969	2741	84
970	2743	81
971	2747	79
972	2749	76
973	2751	73
974	2754	70
975	2757	67
976	2759	64
977	2762	62
978	2764	59
979	2767	56
980	2771	53
981	2774	50
982	2778	48
983	2781	45
984	2785	42
985	2787	39
986	2789	36
987	2790	33
988	2792	31
989	2793	28
990	2795	25
991	2796	22
992	2798	19
993	2800	16
994	2801	14
995	2803	11
996	2804	8
997	2805	5
998	2807	2
999	2808	0
